flow_area_case,heat_load_case,flow_area_m2,velocity_m_s,volumetric_flow_m3_s,volumetric_flow_CFM,volumetric_flow_m3_h,mass_flow_kg_s,heat_load_W,delta_T_air_K,T_air_outlet_C,Re_Dh,dynamic_pressure_Pa,thermal_status,re_status
Local heatsink frontal area,Chip only,0.002,1.0,0.002,4.237760000000001,7.2,0.002368,250.0,104.8404412356746,129.8404412356746,237.037037037037,0.592,High rise,Laminar indicator
Local heatsink frontal area,Chip only,0.002,2.0,0.004,8.475520000000001,14.4,0.004736,250.0,52.4202206178373,77.4202206178373,474.074074074074,2.368,High rise,Laminar indicator
Local heatsink frontal area,Chip only,0.002,3.0,0.006,12.713280000000001,21.6,0.007104,250.0,34.946813745224865,59.946813745224865,711.111111111111,5.327999999999999,Caution,Laminar indicator
Local heatsink frontal area,Chip only,0.002,4.0,0.008,16.951040000000003,28.8,0.009472,250.0,26.21011030891865,51.21011030891865,948.148148148148,9.472,Caution,Laminar indicator
Local heatsink frontal area,Full board,0.002,1.0,0.002,4.237760000000001,7.2,0.002368,320.0,134.19576478166348,159.19576478166348,237.037037037037,0.592,High rise,Laminar indicator
Local heatsink frontal area,Full board,0.002,2.0,0.004,8.475520000000001,14.4,0.004736,320.0,67.09788239083174,92.09788239083174,474.074074074074,2.368,High rise,Laminar indicator
Local heatsink frontal area,Full board,0.002,3.0,0.006,12.713280000000001,21.6,0.007104,320.0,44.73192159388783,69.73192159388783,711.111111111111,5.327999999999999,High rise,Laminar indicator
Local heatsink frontal area,Full board,0.002,4.0,0.008,16.951040000000003,28.8,0.009472,320.0,33.54894119541587,58.54894119541587,948.148148148148,9.472,Caution,Laminar indicator
Larger board-level flow window,Chip only,0.00277875,1.0,0.00277875,5.887837800000001,10.0035,0.0032900399999999997,250.0,75.45870714218596,100.45870714218596,237.037037037037,0.592,High rise,Laminar indicator
Larger board-level flow window,Chip only,0.00277875,2.0,0.0055575,11.775675600000001,20.007,0.0065800799999999994,250.0,37.72935357109298,62.72935357109298,474.074074074074,2.368,Caution,Laminar indicator
Larger board-level flow window,Chip only,0.00277875,3.0,0.00833625,17.6635134,30.0105,0.00987012,250.0,25.15290238072865,50.15290238072865,711.111111111111,5.327999999999999,Caution,Laminar indicator
Larger board-level flow window,Chip only,0.00277875,4.0,0.011115,23.551351200000003,40.014,0.013160159999999999,250.0,18.86467678554649,43.86467678554649,948.148148148148,9.472,Good,Laminar indicator
Larger board-level flow window,Full board,0.00277875,1.0,0.00277875,5.887837800000001,10.0035,0.0032900399999999997,320.0,96.58714514199802,121.58714514199802,237.037037037037,0.592,High rise,Laminar indicator
Larger board-level flow window,Full board,0.00277875,2.0,0.0055575,11.775675600000001,20.007,0.0065800799999999994,320.0,48.29357257099901,73.293572570999,474.074074074074,2.368,High rise,Laminar indicator
Larger board-level flow window,Full board,0.00277875,3.0,0.00833625,17.6635134,30.0105,0.00987012,320.0,32.195715047332676,57.195715047332676,711.111111111111,5.327999999999999,Caution,Laminar indicator
Larger board-level flow window,Full board,0.00277875,4.0,0.011115,23.551351200000003,40.014,0.013160159999999999,320.0,24.146786285499505,49.1467862854995,948.148148148148,9.472,Caution,Laminar indicator
