cooling_method,fluid,heat_load_W,coolant_delta_T_K,rho_kg_m3,cp_J_kgK,volumetric_heat_capacity_J_m3K,mass_flow_kg_s,volume_flow_m3_s,volume_flow_L_min,volume_flow_CFM,air_to_case_volume_flow_ratio
Air-cooled ducted heatsink,Air,250.0,5.0,1.2,1006.0,1207.2,0.04970178926441352,0.0414181577203446,2485.089463220676,87.76010615473825,1.0
Air-cooled ducted heatsink,Air,250.0,10.0,1.2,1006.0,1207.2,0.02485089463220676,0.0207090788601723,1242.544731610338,43.880053077369126,1.0
Air-cooled ducted heatsink,Air,250.0,15.0,1.2,1006.0,1207.2,0.01656726308813784,0.0138060525734482,828.363154406892,29.253368718246083,1.0
Direct-to-chip liquid cold plate,Water-like coolant,250.0,5.0,997.0,4180.0,4167460.0,0.011961722488038277,1.1997715634943107e-05,0.7198629380965864,0.0254217197405614,3452.170311464546
Direct-to-chip liquid cold plate,Water-like coolant,250.0,10.0,997.0,4180.0,4167460.0,0.005980861244019139,5.9988578174715535e-06,0.3599314690482932,0.0127108598702807,3452.170311464546
Direct-to-chip liquid cold plate,Water-like coolant,250.0,15.0,997.0,4180.0,4167460.0,0.003987240829346092,3.999238544981035e-06,0.23995431269886208,0.008473906580187133,3452.1703114645466
Single-phase dielectric immersion,Representative dielectric liquid,250.0,5.0,1400.0,1500.0,2100000.0,0.03333333333333333,2.380952380952381e-05,1.4285714285714286,0.05044952388095239,1739.5626242544731
Single-phase dielectric immersion,Representative dielectric liquid,250.0,10.0,1400.0,1500.0,2100000.0,0.016666666666666666,1.1904761904761905e-05,0.7142857142857143,0.025224761940476195,1739.5626242544731
Single-phase dielectric immersion,Representative dielectric liquid,250.0,15.0,1400.0,1500.0,2100000.0,0.011111111111111112,7.936507936507936e-06,0.47619047619047616,0.016816507960317462,1739.5626242544731
